Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
17/2/2022;UNCHARTED: FUERA DEL MAPA;371373;165991;422;1;3;1;EE.UU;EE.UU;0;pelicula
15/12/2021;SPIDER MAN SIN CAMINO A CASA;3970770;61798;202;2;13;1;EE.UU;EE.UU;0;pelicula
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;803730;54011;207;3;10;1;EE.UU;EE.UU;0;pelicula
2/3/2022;BATMAN;44134;44134;327;4;1;1;EE.UU;EE.UU;0;pelicula
10/2/2022;EL EXORCISMO DE DIOS;79755;25112;130;5;3;1;EE.UU;EE.UU;1;pelicula
24/2/2022;LA LLAMADA FINAL;23510;23510;131;6;1;1;EE.UU;EE.UU;1;pelicula
10/2/2022;MUERTE EN EL NILO;86366;17585;80;7;3;1;EE.UU;EE.UU;0;pelicula
25/11/2021;ENCANTO;695001;17019;84;8;16;1;EE.UU;EE.UU;1;pelicula
24/2/2022;BELFAST;12675;12675;92;9;1;1;UK;EUROPA;1;pelicula
24/11/2011;EL PADRINO 50 AÑOS;70661;12474;33;10;13;1;EE.UU;EE.UU;0;pelicula
17/2/2022;SPENCER;25931;10365;55;11;2;1;UK;EUROPA;1;pelicula
24/2/2022;JACKASS POR SIEMPRE;10431;10331;101;12;2;1;EE.UU;EE.UU;0;pelicula
10/2/2022;CORAZON DE FUEGO;31246;10266;42;13;4;1;FRANCIA;EUROPA;1;pelicula
27/1/2022;LICORICE PIZZA;58620;4924;23;14;6;1;EE.UU;EE.UU;1;pelicula
27/1/2022;ECOS DE UN CRIMEN;97785;4508;17;15;6;0;ARGENTINA;ARGENTINA;1;pelicula
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1511007;2531;15;16;80;1;UK;EUROPA;0;pelicula
27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;43191;2492;9;17;5;1;EE.UU;EE.UU;1;pelicula
13/1/2022;SCREAM: GRITA;300167;2414;17;18;8;1;EE.UU;EE.UU;0;pelicula
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;92793;1800;13;19;14;1;EE.UU;EE.UU;0;pelicula
24/2/2022;DIGIMON ADVENTURE: LA ULTIMA EVOLUCION;1662;1662;9;20;1;1;JAPON;ASIA;0;pelicula
10/2/2022;CASATE CONMIGO;29112;1451;21;21;3;1;EE.UU;EE.UU;0;pelicula
24/2/2022;RE GRANCHIO;1177;1177;12;22;1;1;ITALIA;EUROPA;1;pelicula
3/2/2022;MOONFALL;48891;1114;12;23;4;1;EE.UU;EE.UU;1;pelicula
24/2/2022;PASION, AMOR Y MUERTE;950;950;42;24;1;1;EE.UU;EE.UU;1;pelicula
24/2/2022;LAS CERCANAS;931;931;4;25;1;0;ARGENTINA;ARGENTINA;1;documental
3/2/2022;PASAJERO 666;47743;922;10;26;5;1;RUSIA;EUROPA;1;pelicula
13/1/2022;HOY SE ARREGLA EL MUNDO;70109;778;7;27;8;0;ARGENTINA;ARGENTINA;1;pelicula
24/2/2022;EL HOMBRE QUE VENDIÓ SU PIEL;739;739;13;28;1;1;TURQUIA;EUROPA;1;pelicula
24/2/2022;""" FESTIVAL DE CINE ISRAELÍ - CABA SERET 2022""";698;698;4;29;1;;;;;festival
25/11/2021;LA CASA GUCCI;137174;618;3;30;16;1;EE.UU;EE.UU;1;pelicula
2/2/2022;"""ETIQUETA NEGRA""";2541;473;1;31;4;1;ESPAÑA;EUROPA;1;festival
22/2/2022;"""DESDE FINLANDIA CON AMOR""";559;381;1;32;2;;;;;festival
3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2018;377;2;33;4;1;FRANCIA;EUROPA;1;pelicula
24/2/2022;HISTORIAS BREVES 19;364;364;1;34;1;0;ARGENTINA;ARGENTINA;1;pelicula
10/2/2022;THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO;3481;329;1;35;2;1;EE.UU;EE.UU;1;documental
3/2/2022;MADRES PARALELAS;18788;293;2;36;4;1;ESPAÑA;EUROPA;1;pelicula
26/8/2021;PAW PATROL LA PELÍCULA;210882;251;2;37;17;1;EE.UU;EE.UU;0;pelicula
