Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
17/2/2022;UNCHARTED: FUERA DEL MAPA;205382;205082;339;1;2;1;EE.UU;EE.UU;0;pelicula
15/12/2021;SPIDER MAN SIN CAMINO A CASA;3908972;61572;190;2;12;1;EE.UU;EE.UU;0;pelicula
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;749719;46684;189;3;9;1;EE.UU;EE.UU;0;pelicula
10/2/2022;EL EXORCISMO DE DIOS;54643;23066;82;4;2;1;EE.UU;EE.UU;1;pelicula
10/2/2022;MUERTE EN EL NILO;68781;21719;122;5;2;1;EE.UU;EE.UU;0;pelicula
17/2/2022;SPENCER;15566;15566;61;6;1;1;UK;EUROPA;1;pelicula
25/11/2021;ENCANTO;677982;14946;73;7;15;1;EE.UU;EE.UU;1;pelicula
10/2/2022;CORAZON DE FUEGO;20980;8037;48;8;3;1;FRANCIA;EUROPA;1;pelicula
27/1/2022;ECOS DE UN CRIMEN;93277;7213;28;9;5;0;ARGENTINA;ARGENTINA;1;pelicula
13/1/2022;SCREAM: GRITA;297753;7181;32;10;7;1;EE.UU;EE.UU;0;pelicula
10/2/2022;CASATE CONMIGO;27661;6602;75;11;2;1;EE.UU;EE.UU;0;pelicula
27/1/2022;LICORICE PIZZA;53696;6302;31;12;5;1;EE.UU;EE.UU;1;pelicula
3/2/2022;PASAJERO 666;46821;3875;21;13;4;1;RUSIA;EUROPA;1;pelicula
27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;40699;3544;19;14;4;1;EE.UU;EE.UU;1;pelicula
3/2/2022;MOONFALL;47777;3123;35;15;3;1;EE.UU;EE.UU;1;pelicula
17/2/2022;JUSTICIEROS;2787;2787;37;16;1;1;DINAMARCA;EUROPA;1;pelicula
17/2/2022;NOCHE AMERICANA;2101;2101;45;17;1;0;ARGENTINA;ARGENTINA;1;pelicula
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;90993;1667;16;18;13;1;EE.UU;EE.UU;0;pelicula
13/1/2022;HOY SE ARREGLA EL MUNDO;69331;1507;10;19;7;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;MADRES PARALELAS;18495;1317;8;20;3;1;ESPAÑA;EUROPA;1;pelicula
2/2/2022;"""ETIQUETA NEGRA""";2068;803;1;21;3;;;;;festival
25/11/2021;LA CASA GUCCI;136556;775;5;22;15;1;EE.UU;EE.UU;1;pelicula
12/2/2022;"""CICLO VIVA FELLINI""";1855;760;1;23;2;;;;;festival
17/2/2022;PUNTO ROJO;668;668;2;24;1;1;SUECIA;EUROPA;1;pelicula
2/12/2021;EX CASADOS;26006;612;4;25;11;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;CICLO RETROSPECTIVA DE PATRICIO GUZMAN;1107;563;1;26;3;;;;;festival
17/2/2022;EL TERRITORIO DEL AMOR;456;456;7;27;1;1;FRANCIA;EUROPA;1;pelicula
17/2/2022;SECTOR VIP;393;393;1;28;1;0;ARGENTINA;ARGENTINA;1;pelicula
25/11/2021;EL PERRO QUE NO CALLA;4163;301;2;29;13;0;ARGENTINA;ARGENTINA;1;pelicula
16/9/2021;EN COMPAÑIA;498;274;1;30;3;0;ARGENTINA;ARGENTINA;1;documental
30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2067;264;2;31;6;1;RUMANIA;EUROPA;1;pelicula
19/2/2022;"""CINE Y MÚSICA 1""";197;197;1;32;1;;;;;festival
