"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"93","EL CALLEJON DE LAS ALMAS PERDIDAS",118,65,53,-18.46%,65,0.00%,0.00%,-5,-5,93
"94","LA LUNA REPRESENTA MI CORAZÓN",109,109,109,0.00%,NA, NA,0.00%,0,NA,94
"95","CRÓNICA DE UN AVISO RADIAL",97,97,97,0.00%,NA, NA,0.00%,0,NA,95
"96","CLIFFORD EL GRAN PERRO ROJO",91,91,91,0.00%,NA, NA,0.00%,0,NA,96
"97","EL MUNDO QUE QUISIERA",82,82,82,0.00%,NA, NA,0.00%,0,NA,97
"98","EL EMPLEADO Y EL PATRON",79,79,79,0.00%,NA, NA,0.00%,0,NA,98
"99","FALKLINAS",78,76,2,-97.37%,76,-87.50%,-87.50%,-26,-26,99
"100","ABUELAS",77,37,18,-51.35%,22,0.00%,0.00%,4,-1,100
"101","PIEDRA NOCHE",75,39,36,-7.69%,39,0.00%,0.00%,10,10,101
"102","DOWNTON ABBEY: UNA NUEVA ERA",64,64,64,0.00%,NA, NA,0.00%,0,NA,102
"103","BUENAS NOCHES MALVINAS",63,41,22,-46.34%,41,-75.00%,-75.00%,2,2,103
"104","EXHIBICIÓN ANDREY ZVYAGINTSEV",62,18,16,-11.11%,28,0.00%,0.00%,9,-4,104
"105","EL SEÑOR DE LOS ARBOLES",60,60,60,0.00%,NA, NA,0.00%,0,NA,105
"106","LA TEORIA DE LOS VIDRIOS ROTOS",57,12,45,275.00%,12,0.00%,0.00%,25,25,106
"107","KING",56,56,56,0.00%,NA, NA,0.00%,0,NA,107
"108","MUESTRA ENTERRIANA ENERO-ABRIL",46,27,19,-29.63%,27,0.00%,0.00%,7,7,108
"109","ILSE FUSKOVA",41,41,41,0.00%,NA, NA,0.00%,0,NA,109
"110","EL CURANDERO",38,38,38,0.00%,NA, NA,0.00%,0,NA,110
"111","SEXO DESAFORTUNADO O PORNO LOCO",37,37,37,0.00%,NA, NA,0.00%,0,NA,111
"112","CICLO DE CINE DE ANIMÉ",36,10,26,160.00%,10,0.00%,0.00%,4,4,112
"113","SOÑANDO MARTIN",35,35,35,0.00%,NA, NA,0.00%,0,NA,113
"114","EL PERFECTO DAVID",34,34,34,0.00%,NA, NA,0.00%,0,NA,114
"115","PUNTO ROJO",34,23,11,-52.17%,23,-66.67%,-66.67%,3,3,115
"116","CAPERUCITA ROJA",26,19,7,-63.16%,19,0.00%,0.00%,-10,-10,116
"117","R J W",26,2,24,1100.00%,2,0.00%,0.00%,24,24,117
"118","TARARA",26,15,11,-26.67%,15,-50.00%,-50.00%,-4,-4,118
"119","NI HEROE NI TRAIDOR",25,25,25,0.00%,NA, NA,0.00%,0,NA,119
"120","""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""",23,23,23,0.00%,NA, NA,0.00%,0,NA,120
