Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
7/4/2022;SONIC 2: LA PELICULA;723106;144916;340;1;4;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;436638;125385;353;2;3;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
21/4/2022;LA CIUDAD PERDIDA;46878;46726;176;3;2;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
21/4/2022;EL HOMBRE DEL NORTE;42306;42306;163;4;1;1;EE.UU;EE.UU;Robert Eggers;hombre;0.5;pelicula;aventura
31/3/2022;MORBIUS;283124;12427;72;5;5;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
2/3/2022;BATMAN;1272244;12242;50;6;9;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
17/3/2022;LOS TIPOS MALOS;280279;10301;65;7;7;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
21/4/2022;VIRUS: 32;9736;9736;82;8;1;1;URUGUAY;LATAM;Gustavo Hernández;hombre;0;pelicula;terror
21/4/2022;DESESPERADA;9591;9493;64;9;2;1;EE.UU;EE.UU;Phillip Noyce;hombre;0;pelicula;thriller
7/4/2022;JACK EN LA CAJA MALDITA;47678;7327;37;10;3;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
15/3/2022;COMPETENCIA OFICIAL;90874;3020;15;11;7;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
20/4/2022;SEVENTEEN POWER OF LOVE;4028;2170;24;12;2;1;COREA;ASIA;Oh Yoon-dong;hombre;1;documental;documental
10/2/2022;EL EXORCISMO DE DIOS;147102;1899;8;13;11;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
14/4/2022;LAS ROJAS;9913;1802;22;14;2;0;ARGENTINA;ARGENTINA;Matías Lucchesi;hombre;0.5;pelicula;drama 
21/4/2022;DESPUES DEL RECREO;1139;1139;3;15;1;0;ARGENTINA;ARGENTINA;Mariano Laguyas;hombre;1;pelicula;romcom
24/3/2022;JUJUTSU KAISEN 0;118381;1032;7;16;5;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
17/2/2022;UNCHARTED: FUERA DEL MAPA;545247;995;8;17;11;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula;aventura
1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";3263;914;1;18;8;;;;;;;festival;
27/1/2022;LICORICE PIZZA;65810;840;2;19;14;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula;drama 
7/4/2022;LAS COSAS QUE NO TE CONTÉ;4935;698;5;20;3;1;UK;EUROPA;William Nicholson;hombre;1;pelicula;drama 
21/4/2022;EL LARGO VIAJE DE ALEJANDRO BORDON;651;651;1;21;1;0;ARGENTINA;ARGENTINA;Marcelo Goyeneche;hombre;1;documental;documental
28/4/2022;EN LA MIRA;603;603;3;22;1;0;ARGENTINA;ARGENTINA;Ricardo Hornos, Carlos Gil;hombre;0.5;pelicula;thriller
7/4/2022;CMON CMON;6869;583;5;23;3;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;872420;569;4;24;18;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
14/4/2022;EL JOVEN AHMED;1900;516;9;25;2;1;BELGICA;EUROPA;Jean-Pierre Dardenne, Luc Dardenne;hombre;1;pelicula;drama 
25/11/2021;ENCANTO;716487;298;5;26;24;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
7/4/2022;UNA SEMANA CON BERGMAN - 9NA SEMANA DE CINE PORTUGUES ..;1606;282;1;27;3;;;;;;;festival;
9/3/1995;TIEMPOS VIOLENTOS;18852;269;2;28;5;1;EE.UU;EE.UU;Quentin Tarantino;hombre;1;pelicula;thriller
24/2/2022;RE GRANCHIO;2258;232;6;29;8;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
15/12/2021;SPIDER MAN SIN CAMINO A CASA;4036752;228;2;30;21;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula;fantasia
24/2/2022;LA LLAMADA FINAL;34648;219;2;31;9;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula;terror
1/4/2022;ETIQUETA NEGRA ABRIL 2022;380;200;1;32;3;;;;;;;festival;
24/2/2022;BELFAST;23161;199;2;33;9;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula;drama 
21/10/2021;CODA;14188;168;2;34;10;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula;drama 
7/4/2022;EL ULTIMO ZOMBI;1556;161;3;35;3;0;ARGENTINA;ARGENTINA;Martín Basterretche;hombre;0.5;pelicula;terror
25/11/2021;EL PERRO QUE NO CALLA;5247;110;1;36;21;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula;drama 
10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;1481;108;6;37;7;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula;fantasia
