"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","direccion","director","rank_total"
"38","A CIEGAS",882,244,638,638,5,7,9,2,7,7,2,"CANADA","NORTE AMERICA","pelicula",1,"ABRIL",34,18,18,"hombre","NO GUIONISTA",38
"39","EXHIBICIÓN DE RYUSUKE HAMAGUCHI",868,434,434,434,2,1,2,1,1,1,2,"","","festival",1,"ABRIL",22,22,22,"",NA,39
"40","EL PADRINO 50 AÑOS",813,377,436,436,19,3,4,1,3,3,2,"EE.UU","EE.UU","pelicula",1,"ABRIL",24,22,22,"hombre","CO-GUIONISTA",40
"41","""ESPANORAMAS""",806,806,NA,806,1,2,2,2,NA,2,1,"","","festival",1,"ABRIL",19,19,NA,"",NA,41
"42","LAS NOCHES SON DE LOS MONSTRUOS",774,108,266,141,7,9,25,6,8,2,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",37,40,28,"hombre","NO GUIONISTA",42
"43","ECOS DE UN CRIMEN",660,350,176,134,13,6,11,6,3,2,3,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",26,42,41,"hombre","NO GUIONISTA",43
"44","EL LARGO VIAJE DE ALEJANDRO BORDON",651,651,NA,651,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",21,21,NA,"hombre","GUIONISTA",44
"45","CICLO ABRIL - GCBA",618,160,318,140,3,1,3,1,1,1,3,"","","festival",1,"ABRIL",38,41,29,"",NA,45
"46","EN LA MIRA",603,603,NA,603,1,3,3,3,NA,3,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",22,22,NA,"hombre","CO-GUIONISTA",46
"47","RE GRANCHIO",602,232,166,204,8,6,12,6,3,3,3,"ITALIA","EUROPA","pelicula",1,"ABRIL",29,37,37,"hombre","GUIONISTA",47
"48","MARIA LUISA BEMBERG EL ECO DE MI VOZ",505,505,NA,505,1,7,7,7,NA,7,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",21,21,NA,"hombre","GUIONISTA",48
"49","LAS METAMORFOSIS",477,477,NA,477,5,1,1,1,NA,1,1,"COREA DEL SUR","ASIA","pelicula",1,"ABRIL",21,21,NA,"hombre","NO GUIONISTA",49
"50","LA SOMBRA DEL GALLO",456,121,335,335,9,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",44,27,27,"hombre","CO-GUIONISTA",50
"51","ULTIMA PIEZA",433,60,373,373,2,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",54,25,25,"hombre","GUIONISTA",51
"52","AIRE FRESCO",428,77,351,351,2,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",55,25,25,"hombre","NO GUIONISTA",52
"53","VICENTA",428,91,337,337,5,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",51,27,27,"hombre","CO-GUIONISTA",53
"54","AXIOMAS",389,59,121,37,8,6,16,4,4,2,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",43,62,45,"mujer","CO-GUIONISTA",54
"55","1982",386,14,11,361,5,15,17,1,1,15,3,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",61,24,63,"hombre","GUIONISTA",55
"56","CORAZON DE FUEGO",386,126,260,260,10,4,5,1,4,4,2,"FRANCIA","EUROPA","pelicula",1,"ABRIL",48,32,32,"hombre","CO-GUIONISTA",56
"57","YO TRAIDOR",383,46,210,114,15,3,6,1,3,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",46,51,32,"hombre","CO-GUIONISTA",57
"58","ETIQUETA NEGRA ABRIL 2022",380,200,47,133,3,1,3,1,1,1,3,"","","festival",1,"ABRIL",32,43,61,"",NA,58
"59","LOS OJOS DE TAMMY FAYE",368,368,NA,368,2,9,9,9,NA,9,1,"EE.UU","EE.UU","pelicula",1,"ABRIL",23,23,NA,"hombre","NO GUIONISTA",59
"60","EL PERRO QUE NO CALLA",366,110,133,123,21,1,3,1,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",36,47,46,"mujer","CO-GUIONISTA",60
"61","MUESTRA JERZY KAWALEROWICZ",362,129,233,233,2,1,2,1,1,1,2,"","","festival",1,"ABRIL",43,37,37,"",NA,61
"62","FUI ALAN POR UN AÑO",328,64,21,243,3,2,4,1,2,1,3,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",40,35,59,"hombre","GUIONISTA",62
"63","LA OTRA PARTE",328,328,NA,328,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",28,28,NA,"hombre","NO GUIONISTA",63
"64","EL CAMINO ETERNO",315,101,214,214,2,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",38,40,40,"hombre","CO-GUIONISTA",64
