"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"73","AMOR SIN BARRERA",287,287,287,0.00%,NA, NA,0.00%,0,NA,73
"74","LA DOSIS",267,267,267,0.00%,NA, NA,0.00%,0,NA,74
"75","LA ISLA DE LOS SECRETOS",259,259,259,0.00%,NA, NA,0.00%,0,NA,75
"76","PASAJERO 666",243,170,73,-57.06%,170,0.00%,0.00%,-10,-10,76
"77","EL EMPLEADO Y EL PATRON",209,33,112,239.39%,64,0.00%,100.00%,14,4,77
"78","PLANTA PERMANENTE",200,200,200,0.00%,NA, NA,0.00%,0,NA,78
"79","LA FORMA DEL BOSQUE",181,181,181,0.00%,NA, NA,0.00%,0,NA,79
"80","(…) EL MISMO RIO ",164,164,164,0.00%,NA, NA,0.00%,0,NA,80
"81","TRES EN LA DERIVA DEL ACTO CREATIVO",143,41,39,-4.88%,28,0.00%,0.00%,-3,3,81
"82","SALIR DE PUTA",138,138,138,0.00%,NA, NA,0.00%,0,NA,82
"83","MONTE ADENTRO",125,125,125,0.00%,NA, NA,0.00%,0,NA,83
"84","PIEDRA NOCHE",125,125,125,0.00%,NA, NA,0.00%,0,NA,84
"85","KING RICHARD: UNA FAMILIA GANADORA",118,7,111,1485.71%,7,800.00%,800.00%,28,28,85
"86","YO TRAIDOR",114,41,55,34.15%,18,100.00%,100.00%,2,4,86
"87","PUNTO ROJO",87,87,87,0.00%,NA, NA,0.00%,0,NA,87
"88","EMILIA",85,83,2,-97.59%,83,-80.00%,-80.00%,-34,-34,88
"89","RETROSPECTIVA DE ALEJANDRO FERNANDEZ MOUJAN",84,18,66,266.67%,18,0.00%,0.00%,14,14,89
"90","""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""",79,30,22,-26.67%,27,0.00%,0.00%,-8,1,90
"91","LA TEORIA DE LOS VIDRIOS ROTOS",79,25,54,116.00%,25,100.00%,100.00%,2,2,91
"92","LINEA 137",79,79,79,0.00%,NA, NA,0.00%,0,NA,92
"93","CASATE CONMIGO",69,69,69,0.00%,NA, NA,0.00%,0,NA,93
"94","MISERERE: LOS PIBES DE LA ESTACIÓN",68,68,68,0.00%,NA, NA,0.00%,0,NA,94
"95","CHARLOTTE",62,62,62,0.00%,NA, NA,0.00%,0,NA,95
"96","EL TERRITORIO DEL AMOR",56,43,13,-69.77%,43,0.00%,0.00%,-13,-13,96
"97","KARAKOL",51,44,7,-84.09%,44,-80.00%,-80.00%,-12,-12,97
"98","MILAGRO DE OTOÑO",50,50,50,0.00%,NA, NA,0.00%,0,NA,98
"99","UN CUERPO ESTALLO EN MIL PEDAZOS",50,21,29,38.10%,21,100.00%,100.00%,5,5,99
"100","MOONFALL",47,42,5,-88.10%,42,0.00%,0.00%,-16,-16,100
"101","UNA SOLA NOCHE",46,34,12,-64.71%,34,100.00%,100.00%,-14,-14,101
"102","LINA DE LIMA",43,41,2,-95.12%,41,-75.00%,-75.00%,-20,-20,102
"103","EL RITUAL DEL ALCAUCIL",41,41,41,0.00%,NA, NA,0.00%,0,NA,103
"104","FIDEL NIÑO VALIENTE",37,37,37,0.00%,NA, NA,0.00%,0,NA,104
"105","AMOR BANDIDO",36,36,36,0.00%,NA, NA,0.00%,0,NA,105
"106","EL REGRESO DE GULLIVER",35,35,35,0.00%,NA, NA,0.00%,0,NA,106
"107","CAPERUCITA ROJA",34,28,6,-78.57%,28,-66.67%,-66.67%,-7,-7,107
"108","ALGO SE ENCIENDE",28,28,28,0.00%,NA, NA,0.00%,0,NA,108
"109","MUESTRA ENTERRIANA ENERO-ABRIL",22,11,11,0.00%,11,0.00%,0.00%,-6,-6,109
"110","ILSE FUSKOVA",21,19,2,-89.47%,19,-50.00%,-50.00%,-8,-8,110
"111","CHANGO LA LUZ DESCUBRE",19,2,17,750.00%,2,0.00%,0.00%,4,4,111
"112","ESE FIN DE SEMANA",18,12,6,-50.00%,12,0.00%,0.00%,0,0,112
"113","LA VIDA DORMIDA",18,18,18,0.00%,NA, NA,0.00%,0,NA,113
"114","LOS PASEOS",16,9,7,-22.22%,9,-50.00%,-50.00%,-14,-14,114
"115","VICENTA",16,6,10,66.67%,6,0.00%,0.00%,9,9,115
"116","ANUNCIAN SISMOS",15,15,15,0.00%,NA, NA,0.00%,0,NA,116
"117","LEJOS DE CASA",15,6,9,50.00%,6,0.00%,0.00%,9,9,117
"118","RODOLFO WALSH - EL DOCUMENTAL",15,15,15,0.00%,NA, NA,0.00%,0,NA,118
"119","EN COMPAÑIA",14,14,14,0.00%,NA, NA,0.00%,0,NA,119
