Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo
1;2/3/2022;BATMAN;792921;309370;523;3;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula
2;17/2/2022;UNCHARTED: FUERA DEL MAPA;479627;42714;165;5;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula
3;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;851116;21312;131;12;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula
4;12/3/2022;"""BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE""";21097;21097;49;1;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula
5;15/12/2021;SPIDER MAN SIN CAMINO A CASA;4019212;19225;97;15;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula
6;10/2/2022;EL EXORCISMO DE DIOS;107956;15054;54;5;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula
7;10/3/2022;KING;12879;12780;115;2;1;FRANCIA;EUROPA;David Moreau;hombre;0.5;pelicula
8;10/3/2022;SWORD ART ONLINE PROGRESSIVE: ARIA DE UNA NOCHE SIN ESTR..;7197;7197;61;1;1;JAPON;ASIA;Ayako Kawano;mujer;0;pelicula
9;25/11/2021;ENCANTO;707005;6137;60;18;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula
10;10/3/2022;MILAGRO EN LA CUEVA;4408;4408;72;1;1;TAILANDIA;ASIA;Tom Waller;hombre;1;pelicula
11;10/2/2022;MUERTE EN EL NILO;97587;3851;21;5;1;EE.UU;EE.UU;Kenneth Branagh;hombre;0;pelicula
12;24/11/2011;EL PADRINO 50 AÑOS;78899;3452;20;15;1;EE.UU;EE.UU;Francis Ford Coppola;hombre;0.5;pelicula
13;10/2/2022;CORAZON DE FUEGO;37832;2950;26;6;1;FRANCIA;EUROPA;Theodore Ty, Laurent Zeitoun;hombre;0.5;pelicula
14;24/2/2022;BELFAST;19226;2444;21;3;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula
15;10/3/2022;AXIOMAS;2421;2124;14;2;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula
16;24/2/2022;LA LLAMADA FINAL;31888;2073;17;3;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula
17;27/1/2022;LICORICE PIZZA;62566;1428;11;8;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula
18;17/2/2022;SPENCER;30351;1325;10;4;1;UK;EUROPA;Pablo Larraín;hombre;0;pelicula
19;27/1/2022;ECOS DE UN CRIMEN;100467;1234;7;8;0;ARGENTINA;ARGENTINA;Cristian Bernard;hombre;0;pelicula
20;2/12/2021;EX CASADOS;27132;955;4;13;0;ARGENTINA;ARGENTINA;Sabrina Farji;mujer;0.5;pelicula
21;10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;673;614;6;2;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula
22;27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;44415;416;3;7;1;EE.UU;EE.UU;Guillermo del Toro;hombre;0.5;pelicula
23;1/3/2022;"""CICLO CULTURAL SAN MARTIN MARZO 2022""";896;410;1;3;;;;;;;festival
24;3/2/2022;MADRES PARALELAS;19550;408;3;6;1;ESPAÑA;EUROPA;Pedro Almodóvar;hombre;1;pelicula
25;15/3/2022;COMPETENCIA OFICIAL;396;396;2;1;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula
26;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;93984;371;4;16;1;EE.UU;EE.UU;Walt Becker;hombre;0;pelicula
27;10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;366;366;6;1;0;ARGENTINA;ARGENTINA;Alejandro Chomski;hombre;0.5;pelicula
28;23/9/2021;LA FIESTA SILENCIOSA;662;338;1;7;0;ARGENTINA;ARGENTINA;Diego Fried;hombre;0.5;pelicula
29;8/3/2022;DOROTHY ARZNER -PIONERA DE HOLLYWOOD;413;326;1;2;;;;;;;festival
30;24/2/2022;EL HOMBRE QUE VENDIÓ SU PIEL;1022;283;1;2;1;TUNEZ;AFRICA;Kaouther Ben Hania;mujer;1;pelicula
31;1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";565;281;1;2;;;;;;;festival
32;3/2/2022;JESÚS LÓPEZ;1439;253;5;6;0;ARGENTINA;ARGENTINA;Maximiliano Schonfeld;hombre;0.5;pelicula
33;13/1/2022;HOY SE ARREGLA EL MUNDO;70561;200;3;10;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula
34;17/3/2022;LOS TIPOS MALOS;200;200;1;1;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula
35;3/3/2022;LAS METAMORFOSIS;241;190;1;2;1;COREA DEL SUR;ASIA;Kim Hong-seon;hombre;0;pelicula
36;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2290;133;2;9;1;RUMANIA;EUROPA;Radu Jude;hombre;1;pelicula
37;25/11/2021;EL PERRO QUE NO CALLA;4646;130;2;16;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula
38;10/3/2022;MONTE ADENTRO;125;125;1;1;1;COLOMBIA;LATAM;Nicolás Macario Alonso;hombre;1;documental
39;17/3/2022;A CIEGAS;102;102;1;1;1;CANADA;NORTE AMERICA;Randall Okita;hombre;0;pelicula
40;4/3/2022;ATLAS;292;100;1;2;1;SUIZA;EUROPA;Niccolò Castelli;hombre;0.5;pelicula
41;3/3/2022;BAJO LA CORTEZA;868;92;4;2;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula
42;1/3/2022;"""TARDES DE CINE ARTE""";229;89;1;3;;;;;;;festival
43;28/10/2021;YO NENA YO PRINCESA;44711;86;1;15;0;ARGENTINA;ARGENTINA;Federico Palazzo;hombre;1;pelicula
44;3/2/2022;PASAJERO 666;47986;73;1;7;1;RUSIA;EUROPA;Alexander Babaev;hombre;0;pelicula
45;17/2/2022;NOCHE AMERICANA;2190;67;2;3;0;ARGENTINA;ARGENTINA;Alejandro Bazzano;hombre;0.5;pelicula
46;13/1/2022;EL EMPLEADO Y EL PATRON;1139;64;2;9;1;URUGUAY;LATAM;Manuel Nieto Zas;hombre;1;pelicula
47;11/3/2021;CHARLOTTE;458;62;1;3;0;ARGENTINA;ARGENTINA;Simón Franco;hombre;0.5;pelicula
48;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2180;54;1;6;1;FRANCIA;EUROPA;Emmanuel Mouret;hombre;1;pelicula
49;13/1/2022;SCREAM: GRITA;300485;37;1;10;1;EE.UU;EE.UU;Matt Bettinelli-Olpin, Tyler Gillett;hombre;0;pelicula
50;9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;880;35;1;9;0;ARGENTINA;ARGENTINA;Fernando E. Solanas;hombre;1;documental
51;15/3/2022;"""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""";30;30;1;1;;;;;;;festival
52;24/2/2022;RE GRANCHIO;1474;27;1;3;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula
53;30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;739;25;1;10;1;URUGUAY;LATAM;Diego Fernández;hombre;0.5;pelicula
54;6/1/2022;YO TRAIDOR;4306;18;1;10;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula
55;20/1/2022;LA ENCOMIENDA;944;14;2;6;0;ARGENTINA;ARGENTINA;Pablo Giorgelli;hombre;0.5;pelicula
56;24/2/2022;JACKASS POR SIEMPRE;10868;13;1;4;1;EE.UU;EE.UU;Jeff Tremaine;hombre;0.5;pelicula
57;11/3/2021;VICENTA;27;10;1;3;0;ARGENTINA;ARGENTINA;Darío Doria;hombre;0.5;pelicula
58;3/3/2022;LEJOS DE CASA;15;9;1;2;0;ARGENTINA;ARGENTINA;Laura Dariomerlo;mujer;0;pelicula
59;10/2/2022;EL PISO DEL VIENTO;267;9;1;2;0;ARGENTINA;ARGENTINA;Gustavo Fontán, Gloria Peirano;mixto;1;documental
60;10/2/2022;LOS PASEOS;377;9;2;3;0;ARGENTINA;ARGENTINA;Esteban Tabacznik;hombre;1;pelicula
61;3/3/2022;KARAKOL;51;7;1;2;0;ARGENTINA;ARGENTINA;Saula Benavente;mujer;1;pelicula
62;9/12/2021;EL CUENTO DEL TIO;3716;6;1;10;0;ARGENTINA;ARGENTINA;Ignacio Antonio Guggiari;hombre;1;pelicula
63;9/12/2021;ESE FIN DE SEMANA;450;6;1;8;0;ARGENTINA;ARGENTINA;Mara Pescio;mujer;1;pelicula
64;23/12/2021;9;243;6;1;8;1;URUGUAY;LATAM;Martín Barrenechea, Nicolás Branca;hombre;1;pelicula
65;4/11/2021;CAPERUCITA ROJA;432;6;1;6;0;ARGENTINA;ARGENTINA;Tatiana Mazú;mujer;1;documental
66;3/2/2022;MOONFALL;48938;5;1;6;1;EE.UU;EE.UU;Roland Emmerich;hombre;0.5;pelicula
67;24/2/2022;LAS CERCANAS;1222;4;1;3;0;ARGENTINA;ARGENTINA;María Álvarez;mujer;1;documental
68;26/8/2021;LAS RANAS;883;3;1;10;0;ARGENTINA;ARGENTINA;Edgardo Castro;hombre;1;pelicula
69;11/11/2021;ILSE FUSKOVA;771;2;1;10;0;ARGENTINA;ARGENTINA;Lucas Santa Ana, Liliana Furió;mixto;0.5;documental
70;30/12/2021;CHANGO LA LUZ DESCUBRE;198;2;1;4;0;ARGENTINA;ARGENTINA;Paola Rizzi, Alejandra Martín;mixto;0;documental
71;3/3/2022;LINA DE LIMA;43;2;1;2;1;CHILE ;LATAM;María Paz González;mujer;1;pelicula
