Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo
69;16/12/2021;UNA SOLA NOCHE;972;12;2;10;0;ARGENTINA;ARGENTINA;Luis Hitoshi Díaz;hombre;0;pelicula
70;1/1/2022;MUESTRA ENTERRIANA ENERO-ABRIL;46;11;1;4;;;;;;;festival
71;21/10/2021;DUNA;176412;8;1;15;1;EE.UU;EE.UU;Denis Villeneuve;hombre;0.5;pelicula
72;3/2/2022;MADRES PARALELAS;19558;8;1;7;1;ESPAÑA;EUROPA;Pedro Almodóvar;hombre;1;pelicula
73;1/3/2022;"""FUNDACION COLUMBIA MAR-MAY""";8;8;1;1;;;;;;;festival
74;10/2/2022;LOS PASEOS;384;7;1;4;0;ARGENTINA;ARGENTINA;Esteban Tabacznik;hombre;1;pelicula
75;2/12/2021;KING RICHARD: UNA FAMILIA GANADORA;18604;7;1;7;1;EE.UU;EE.UU;Reinaldo Marcus Green;hombre;0;pelicula
76;19/3/2022;LO QUE EL CUERPO DEBE;4;4;1;1;;;;;;;
77;5/8/2021;EMILIA;681;2;1;10;0;ARGENTINA;ARGENTINA;César Sodero;hombre;1;pelicula
78;10/2/2022;EL PISO DEL VIENTO;268;1;1;3;0;ARGENTINA;ARGENTINA;Gustavo Fontán, Gloria Peirano;mixto;1;documental
