Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo
1;2/3/2022;BATMAN;1115313;137157;347;5;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula
2;17/3/2022;LOS TIPOS MALOS;174959;87265;303;3;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula
3;24/3/2022;JUJUTSU KAISEN 0;72405;72405;103;1;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula
4;15/3/2022;COMPETENCIA OFICIAL;60451;28216;126;3;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula
5;17/2/2022;UNCHARTED: FUERA DEL MAPA;525080;20844;77;7;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula
6;17/3/2022;AMBULANCIA;35736;13107;163;2;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula
7;9/3/1995;TIEMPOS VIOLENTOS;10472;10472;47;1;1;EE.UU;EE.UU;Quetin Tarantino;hombre;1;pelicula
8;10/2/2022;EL EXORCISMO DE DIOS;129342;9515;38;7;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula
9;24/3/2022;HASTA LA MUERTE;7663;7663;45;1;1;EE.UU;EE.UU;S.K. Dale;hombre;0;pelicula
10;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;865912;6934;42;14;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula
11;24/3/2022;EXODO;6355;6355;80;1;1;ALEMANIA;EUROPA;Tim Fehlbaum;hombre;0.5;pelicula
12;15/12/2021;SPIDER MAN SIN CAMINO A CASA;4031481;4854;28;17;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula
13;25/11/2021;ENCANTO;712294;2876;24;20;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula
