"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","�..Rank","rank_mes","rank_anterior","direccion","eyd","rank_total"
"77","EL EMPLEADO Y EL PATRON",209,112,64,33,10,2,5,2,2,1,3,"URUGUAY","LATAM","pelicula",1,"MARZO",42,56,46,"hombre",1,77
"78","PLANTA PERMANENTE",200,200,NA,200,15,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",35,35,NA,"hombre",0.5,78
"79","LA FORMA DEL BOSQUE",181,181,NA,181,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",37,37,NA,"hombre",1,79
"80","(…) EL MISMO RIO ",164,164,NA,164,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",40,40,NA,"hombre",1,80
"81","TRES EN LA DERIVA DEL ACTO CREATIVO",143,39,28,41,11,1,4,1,1,1,4,"ARGENTINA","ARGENTINA","documental",1,"MARZO",56,53,59,"hombre",1,81
"82","SALIR DE PUTA",138,138,NA,138,2,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",36,36,NA,"mujer",1,82
"83","MONTE ADENTRO",125,125,NA,125,1,1,1,1,NA,1,1,"COLOMBIA","LATAM","documental",1,"MARZO",38,38,NA,"hombre",1,83
"84","PIEDRA NOCHE",125,125,NA,125,5,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",39,39,NA,"hombre",0.5,84
"85","KING RICHARD: UNA FAMILIA GANADORA",118,111,7,7,8,9,10,9,1,1,2,"EE.UU","EE.UU","pelicula",1,"MARZO",47,75,75,"hombre",0,85
"86","YO TRAIDOR",114,55,18,41,11,2,4,2,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",50,52,54,"hombre",0.5,86
"87","PUNTO ROJO",87,87,NA,87,3,1,1,1,NA,1,1,"SUECIA","EUROPA","pelicula",1,"MARZO",41,41,NA,"hombre",0.5,87
"88","EMILIA",85,2,83,83,10,5,6,1,5,5,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",77,43,43,"hombre",1,88
"89","RETROSPECTIVA DE ALEJANDRO FERNANDEZ MOUJAN",84,66,18,18,2,1,2,1,1,1,2,"","","festival",1,"MARZO",51,65,65,"",NA,89
"90","""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""",79,22,27,30,3,1,3,1,1,1,3,"","","festival",1,"MARZO",59,51,60,"",NA,90
"91","LA TEORIA DE LOS VIDRIOS ROTOS",79,54,25,25,11,2,3,2,1,1,2,"URUGUAY","LATAM","pelicula",1,"MARZO",51,53,53,"hombre",0.5,91
"92","LINEA 137",79,79,NA,79,3,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",45,45,NA,"mujer",0,92
"93","CASATE CONMIGO",69,69,NA,69,4,1,1,1,NA,1,1,"EE.UU","EE.UU","pelicula",1,"MARZO",46,46,NA,"mujer",0,93
"94","MISERERE: LOS PIBES DE LA ESTACIÓN",68,68,NA,68,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",48,48,NA,"hombre",1,94
"95","CHARLOTTE",62,62,NA,62,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",47,47,NA,"hombre",0.5,95
"96","EL TERRITORIO DEL AMOR",56,13,43,43,3,1,2,1,1,1,2,"FRANCIA","EUROPA","pelicula",1,"MARZO",66,53,53,"hombre",1,96
"97","KARAKOL",51,7,44,44,2,5,6,1,5,5,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",61,49,49,"mujer",1,97
"98","MILAGRO DE OTOÑO",50,50,NA,50,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",52,52,NA,"hombre",0.5,98
"99","UN CUERPO ESTALLO EN MIL PEDAZOS",50,29,21,21,8,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",58,63,63,"hombre",1,99
"100","MOONFALL",47,5,42,42,6,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"MARZO",66,50,50,"hombre",0.5,100
"101","UNA SOLA NOCHE",46,12,34,34,10,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",69,55,55,"hombre",0,101
"102","LINA DE LIMA",43,2,41,41,2,4,5,1,4,4,2,"CHILE ","LATAM","pelicula",1,"MARZO",71,51,51,"mujer",1,102
"103","EL RITUAL DEL ALCAUCIL",41,41,NA,41,3,4,4,4,NA,4,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",55,55,NA,"mujer",1,103
"104","FIDEL NIÑO VALIENTE",37,37,NA,37,2,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",56,56,NA,"hombre",1,104
"105","AMOR BANDIDO",36,36,NA,36,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",57,57,NA,"hombre",1,105
"106","EL REGRESO DE GULLIVER",35,35,NA,35,4,1,1,1,NA,1,1,"UCRANIA","EUROPA","pelicula",1,"MARZO",54,54,NA,"hombre",0,106
"107","CAPERUCITA ROJA",34,6,28,28,6,3,4,1,3,3,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,58,58,"mujer",1,107
"108","ALGO SE ENCIENDE",28,28,NA,28,4,5,5,5,NA,5,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",59,59,NA,"mujer",1,108
"109","MUESTRA ENTERRIANA ENERO-ABRIL",22,11,11,11,4,1,2,1,1,1,2,"","","festival",1,"MARZO",70,64,64,"",NA,109
"110","ILSE FUSKOVA",21,2,19,19,10,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",69,61,61,"mixto",0.5,110
"111","CHANGO LA LUZ DESCUBRE",19,17,2,2,5,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",66,70,70,"mixto",0,111
"112","ESE FIN DE SEMANA",18,6,12,12,8,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",63,63,63,"mujer",1,112
"113","LA VIDA DORMIDA",18,18,NA,18,8,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",62,62,NA,"mujer",1,113
"114","LOS PASEOS",16,7,9,9,4,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",74,60,60,"hombre",1,114
"115","VICENTA",16,10,6,6,3,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",57,66,66,"hombre",0.5,115
"116","ANUNCIAN SISMOS",15,15,NA,15,5,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",67,67,NA,"mujer",0.5,116
"117","LEJOS DE CASA",15,9,6,6,2,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",58,67,67,"mujer",0,117
