"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","semanas_total","semanas_mes","pais","region","tipo","pantallas_max","pantallas_mes","cantidad","mes"
"54","SPIDER MAN SIN CAMINO A CASA",1034690,213830,234013,8,4,"EE.UU","EE.UU","pelicula",541,1677,1,"ENERO"
"55","TARARA",311,311,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,1,1,"ENERO"
"56","THE KING' S MAN: EL ORIGEN",33139,4323,7503,3,3,"EE.UU","EE.UU","pelicula",145,205,1,"ENERO"
"57","UN JABALI AL ACECHO",99,90,9,5,2,"ARGENTINA","ARGENTINA","pelicula",1,2,1,"ENERO"
"58","UN VIAJE CON MAM<c1>",1061,1061,NA,2,1,"ITALIA","EUROPA","pelicula",31,31,1,"ENERO"
"59","UNA SOLA NOCHE",464,339,125,5,2,"ARGENTINA","ARGENTINA","pelicula",5,6,1,"ENERO"
"60","VENOM: CARNAGE LIBERADO",354,82,46,17,4,"EE.UU","EE.UU","pelicula",1,4,1,"ENERO"
"61","VERANO DE CINE ARTE",36,36,NA,1,1,"","","festival",1,1,1,"ENERO"
"62","YO NENA YO PRINCESA",147,83,51,11,3,"ARGENTINA","ARGENTINA","pelicula",2,5,1,"ENERO"
"63","YO TRAIDOR",3614,353,794,3,3,"ARGENTINA","ARGENTINA","pelicula",30,40,1,"ENERO"
