Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
59;21/10/2021;CODA;14227;37;1;11;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula;drama 
60;6/1/2022;YO TRAIDOR;4794;27;1;16;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula;drama 
61;20/1/2022;LA ENCOMIENDA;983;24;1;8;0;ARGENTINA;ARGENTINA;Pablo Giorgelli;hombre;0.5;pelicula;drama 
62;18/11/2021;1982;429;21;1;6;0;ARGENTINA;ARGENTINA;Lucas Gallo;hombre;1;documental;documental
63;7/4/2022;ABUELAS;97;20;1;4;0;ARGENTINA;ARGENTINA;Cristian Arriaga;hombre;1;documental;documental
64;18/11/2021;RETIROS (IN) VOLUNTARIOS;339;20;1;7;0;ARGENTINA;ARGENTINA;Sandra Gugliotta;mujer;0.5;documental;documental
65;10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;1494;13;1;8;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula;fantasia
66;1/3/2022;"""FUNDACION COLUMBIA MAR-MAY""";44;11;1;6;;;;;;;festival;
67;3/3/2022;BAJO LA CORTEZA;2064;6;1;9;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula;drama 
68;24/2/2022;RE GRANCHIO;2315;5;1;9;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
69;13/1/2022;HOY SE ARREGLA EL MUNDO;71718;4;1;17;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula;drama 
70;9/12/2021;EL PERFECTO DAVID;933;2;1;10;0;ARGENTINA;ARGENTINA;Felipe Gomez Aparicio;hombre;0.5;pelicula;drama 
71;10/2/2022;LOS PASEOS;386;2;1;5;0;ARGENTINA;ARGENTINA;Esteban Tabacznik;hombre;1;pelicula;romcom
72;7/4/2022;ULTIMA PIEZA;435;2;1;3;0;ARGENTINA;ARGENTINA;Luciano Romero;hombre;1;pelicula;drama 
