Fecha Estreno;Espec. Semana;Titulo;Entradas Total;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
17/2/2022;16;SECTOR VIP;573;1;65;5;0;ARGENTINA;ARGENTINA;Eduardo Pinto;hombre;0;pelicula;drama 
14/4/2022;16;MARIA LUISA BEMBERG EL ECO DE MI VOZ;545;1;66;3;0;ARGENTINA;ARGENTINA;Alejandro Maci;hombre;1;documental;documental
24/3/2022;15;JUJUTSU KAISEN 0;119373;1;67;9;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
17/3/2022;14;TERROR EN EL ESTUDIO 666;2574;1;68;3;1;EE.UU;EE.UU;BJ McDonnell;hombre;0;pelicula;terror
14/4/2022;13;EL JOVEN AHMED;2205;1;69;5;1;BELGICA;EUROPA;Jean-Pierre Dardenne, Luc Dardenne;hombre;1;pelicula;drama 
14/4/2022;11;MADRE PLANTA;320;3;70;4;0;ARGENTINA;ARGENTINA;Lisandro Costa, Alejandro Espolsino, Francisco López;hombre;1;documental;documental
24/2/2022;10;RE GRANCHIO;2424;1;71;12;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
1/5/2022;7;"""FOECX COLUMBIA""";23;1;72;3;;;;;;;festival;
19/5/2022;6;LA ESENCIA DE LOS OTROS;6;1;73;1;;;;;;;;
14/4/2022;4;SARA MAMANI;198;1;74;3;0;ARGENTINA;ARGENTINA;Susana Moreira;mujer;0;documental;documental
22/3/2022;2;AZOR;3641;1;75;9;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula;thriller
